,offset
235,36737
236,36971
237,35587
238,35131
239,36788
240,36997
241,36443
242,35209
243,35235
244,36842
245,35099
246,35992
247,35094
248,36609
249,36612
250,35640
251,35576
252,35615
253,35289
254,36697
255,36344
256,35443
257,35770
258,35659
259,35207
260,35407
261,35391
262,35587
263,36145
264,37014
265,35409
266,36409
267,35623
268,36392
269,36522
270,35668
271,35996
272,36503
273,35724
274,36081
275,36035
276,35298
277,35113
278,35703
279,35856
280,35768
281,35927
282,36695
283,35450
284,35594
285,35287
286,35584
287,36907
288,36560
289,36109
290,37065
291,35493
292,37042
293,36305
294,35949
295,36738
296,37062
297,35107
298,35526
299,35101
300,35878
301,35364
302,35137
303,36537
304,37030
305,35393
306,35977
307,36508
308,36101
309,36453
310,35938
311,36180
312,36769
313,35516
314,37065
315,37063
316,36356
317,36698
318,36488
319,36122
320,35988
321,35522
322,36137
323,36393
324,35127
325,35873
326,36447
327,36244
328,36710
329,35722
330,36416
331,36357
332,35938
333,35185
334,36575
335,35676
336,35322
337,37047
338,35499
339,36858
340,35162
341,35692
342,35209
343,36823
344,35221
345,35700
346,36943
347,36988
348,35675
349,36588
350,35389
351,35917
352,36221
353,35581
354,35332
355,35082
356,36213
357,36864
358,36806
359,35142
360,36274
361,36743
362,35510
363,37035
364,36909
365,36232
366,36008
367,35416
368,36760
369,36842
370,36846
371,37059
372,36662
373,36506
374,36340
375,36107
376,35141
377,35839
378,35475
379,35775
380,35267
381,35486
382,36239
383,36445
384,36901
385,35951
386,36276
387,35462
388,36073
389,35278
390,36985
391,36428
392,35863
393,35671
394,36097
395,36088
396,35100
397,35731
398,36318
399,36850
400,35888
401,36907
402,35641
403,35102
404,35386
405,35476
406,36821
407,35736
408,36726
409,36218
410,36667
411,35341
412,35759
413,35944
414,35501
415,35610
416,36446
417,35262
418,36780
419,35841
420,36974
421,36186
422,35769
423,36937
424,36872
425,36780
426,36472
427,36159
428,36057
429,36637
430,36155
431,35545
432,35198
433,36550
434,35147
435,35238
436,35337
437,35412
438,35406
439,36930
440,36167
441,35501
442,35613
443,36619
444,35745
445,36294
446,36101
447,36787
448,35587
449,35818
450,35758
451,35761
452,35298
453,35661
454,35546
455,36841
456,36998
457,36301
458,36661
459,37019
460,36529
461,36882
462,36066
463,35342
464,36252
465,36193
466,36642
467,35278
468,35721
469,35145
470,35897
471,35214
472,35843
473,36838
474,36679
475,35366
476,36761
477,35321
478,35763
479,35299
480,36324
481,36268
482,36666
483,36961
484,35839
485,35221
486,36233
487,36191
488,35523
489,36224
490,35232
491,37015
492,35611
493,35812
494,36889
495,35670
496,36220
497,36159
498,36959
499,35299
500,36002
501,36901
502,35632
503,35285
504,36676
505,35158
506,36760
507,35670
508,35090
509,36321
510,36438
511,35094
512,35252
513,35911
514,35300
515,36756
516,36877
517,36682
518,35146
519,35449
520,35555
521,36673
522,36266
523,35927
524,35396
525,35301
526,35988
527,35407
528,36459
529,35559
530,35390
531,36588
532,36795
533,35275
534,35956
535,36930
536,37040
537,35839
538,36716
539,37052
540,36176
541,36927
542,36740
543,35667
544,36191
545,35583
546,36522
547,36041
548,35709
549,35270
550,35490
551,36400
552,35715
553,35146
554,35120
555,35086
556,36676
557,36960
558,35670
559,36552
560,36286
561,35720
562,35986
563,35866
564,35706
565,35881
566,35193
567,35196
568,36935
569,35714
570,37051
571,36296
572,37051
573,35998
574,35293
575,35577
576,35505
577,36672
578,36330
579,36658
580,36890
581,36176
582,36841
583,36474
584,36025
585,36420
586,35793
587,35595
588,35440
589,36174
590,35490
591,35694
592,35472
593,35569
594,35803
595,35231
596,36744
597,35640
598,35248
599,36607
600,35982
601,35250
602,36400
603,36241
604,36382
605,35759
606,36991
607,35530
608,35864
609,37044
610,35693
611,35149
612,35735
613,35447
614,35713
615,36688
616,36799
617,36250
618,36894
619,36951
620,35685
621,35568
622,35749
623,35271
624,36179
625,36317
626,36250
627,36718
628,36285
629,35253
630,35566
631,35515
632,35106
633,36720
634,35564
635,35887
636,35213
637,35613
638,36193
639,36841
640,35210
641,36558
642,35218
643,35109
644,36366
645,35085
646,35660
647,36602
648,36687
649,35800
650,36075
651,36025
652,36831
653,36824
654,35380
655,35271
656,36091
657,36657
658,36693
659,35736
660,35222
661,36107
662,37009
663,36427
664,35419
665,35432
666,36654
667,35371
668,35354
669,36747
670,36837
671,35719
672,35690
673,35283
674,36517
675,36118
676,36774
677,36947
678,36297
679,35666
680,35323
681,36895
682,35488
683,35355
684,36182
685,36929
686,36544
687,35130
688,36661
689,35712
690,36746
691,36914
692,36341
693,36711
694,36441
695,36922
696,36197
697,36786
698,36997
699,36593
700,36477
701,35485
702,35429
703,35677
704,35951
705,36165
706,35388
707,35164
708,36528
709,36830
710,36432
711,35571
712,35582
713,36657
714,35196
715,36461
716,37038
717,35979
718,36720
719,35945
720,36189
721,35577
722,36173
723,35964
724,36808
725,36166
726,35993
727,35087
728,35875
729,36777
730,35758
731,35416
732,35593
733,36059
734,35114
735,36689
736,36388
737,36975
738,35918
739,37064
740,36233
741,35103
742,35192
743,36481
744,35791
745,36252
746,35348
747,36280
748,35321
749,35348
750,35595
751,36762
752,35632
753,35879
754,36220
755,35886
756,35417
757,36319
758,35247
759,35543
760,36060
761,35080
762,35428
763,36147
764,35714
765,36090
766,36893
767,36393
768,36950
769,35962
770,36969
771,36470
772,36373
773,36562
774,35527
775,35553
776,35705
777,36078
778,36471
779,36045
780,37023
781,35525
782,36524
783,35909
784,35755
785,36212
786,36316
787,36922
788,36556
789,36944
790,36403
791,35628
792,37056
793,36388
794,35514
795,35163
796,36952
797,35211
798,36628
799,36112
800,36386
801,36861
802,35820
803,35391
804,36112
805,36633
806,36687
807,36873
808,35482
809,35703
810,35676
811,36483
812,35678
813,36803
814,36196
815,35826
816,35403
817,36501
818,36501
819,36573
820,36016
821,36282
822,35239
823,36818
824,35317
825,36901
826,36306
827,37031
828,36117
829,36234
830,35837
831,35426
832,35384
833,35578
834,35938
835,35510
836,36993
837,36231
838,36538
839,36616
840,36667
841,35171
842,36078
843,36460
844,35871
845,36533
846,36369
847,35777
848,35851
849,36119
850,36796
851,35402
852,36179
853,36559
854,35148
855,36138
856,35250
857,36719
858,35587
859,36352
860,35271
861,35612
862,36574
863,36934
864,35236
865,37029
866,37061
867,35349
868,37049
869,36653
870,36328
871,36789
872,37045
873,36416
874,36471
875,36499
876,35232
877,35976
878,36807
879,36957
880,35558
881,37054
882,36807
883,35848
884,36990
885,36708
886,36915
887,35951
888,35878
889,35402
890,36928
891,35731
892,35962
893,35323
894,36339
895,36926
896,36064
897,37029
898,35499
899,35309
900,35948
901,36295
902,36158
903,35901
904,36927
905,35306
906,36417
907,35670
908,35633
909,35573
910,35840
911,36600
912,36210
913,35073
914,37030
915,35453
916,36147
917,35963
918,36250
919,35108
920,35128
921,36350
922,37057
923,36305
924,35561
925,36775
926,35598
927,35488
928,35419
929,35648
930,35368
931,36175
932,35475
933,35624
934,35702
935,36264
936,36616
937,35578
938,36769
939,36464
940,35979
941,36685
942,36828
943,36721
944,36816
945,37058
946,35409
947,36181
948,35796
949,36070
950,35925
951,36817
952,35314
953,36640
954,35492
955,36233
956,36865
957,35849
958,35484
959,35646
960,36725
961,35286
962,36916
963,36718
964,35114
965,35306
966,36230
967,36595
968,35092
969,36181
970,35672
971,37041
972,36445
973,36623
974,36548
975,37058
976,36394
977,35344
978,35218
979,36089
980,35830
981,36237
982,36714
983,35702
984,35960
985,36095
986,36452
987,35795
988,36618
989,36147
990,35727
991,35066
992,35318
993,35970
994,36535
995,35985
996,35782
997,35689
998,36169
999,35882
1000,35760
1001,36668
1002,36562
1003,36464
1004,36235
1005,36073
1006,35296
1007,36391
1008,36944
1009,35838
1010,35848
1011,35482
1012,36205
1013,35072
1014,35633
1015,36366
1016,36290
1017,36544
1018,36870
1019,36577
1020,36763
1021,36556
1022,36111
1023,35472
1024,36955
1025,36010
1026,36295
1027,36774
1028,36123
1029,35902
1030,36984
1031,36590
1032,36523
1033,35690
1034,36504
1035,35413
1036,35985
1037,36334
1038,36434
1039,36152
1040,35469
1041,35801
1042,36142
1043,35072
1044,36454
1045,35862
1046,36251
1047,35937
1048,37052
1049,35894
1050,35753
1051,36828
1052,36338
1053,36261
1054,37060
1055,36567
1056,36497
1057,36903
1058,37046
1059,36598
1060,35203
1061,36074
1062,36592
1063,35572
1064,36376
1065,37045
1066,36393
1067,35660
1068,36354
1069,35107
1070,35898
1071,36542
1072,36353
1073,35384
1074,36362
1075,36660
1076,36984
1077,35878
1078,36667
1079,35618
1080,36798
1081,35429
1082,36636
1083,35215
1084,36734
1085,36654
1086,36304
1087,35085
1088,35780
1089,36934
1090,35606
1091,36699
1092,36515
1093,35907
1094,36854
1095,36467
1096,36179
1097,35686
1098,35376
1099,36011
1100,36770
1101,35596
1102,36057
1103,35412
1104,36021
1105,36110
1106,35157
1107,35619
1108,36110
1109,35266
1110,36590
1111,36274
1112,35930
1113,35207
1114,35792
1115,35202
1116,36410
1117,35971
1118,35105
1119,35401
1120,36103
1121,36519
1122,37002
1123,35396
1124,36479
1125,35255
1126,35888
1127,36367
1128,36475
1129,35629
1130,36304
1131,35688
1132,35492
1133,36146
1134,35490
1135,35550
1136,36879
1137,35748
1138,35616
1139,35205
1140,35218
1141,36496
1142,36766
1143,36929
1144,36136
1145,36414
1146,35819
1147,36023
1148,36112
1149,36207
1150,36573
1151,35166
1152,35410
1153,35673
1154,36402
1155,36570
1156,36526
1157,36734
1158,36204
1159,35617
1160,35793
1161,36313
1162,36580
1163,35540
1164,35868
1165,36214
1166,35883
1167,35417
1168,36055
1169,36682
1170,35596
1171,36840
1172,36315
1173,35740
1174,36531
1175,35520
1176,35594
1177,37038
1178,36314
1179,36512
1180,35565
1181,36793
1182,36418
1183,35127
1184,36809
1185,36906
1186,36843
1187,36339
1188,35889
1189,35713
1190,36965
1191,35949
1192,36976
1193,36624
1194,35573
1195,36673
1196,35616
1197,35453
1198,35213
1199,36346
1200,36564
1201,35404
1202,36848
1203,37057
1204,36251
1205,35973
1206,36255
1207,36935
1208,36975
1209,36556
1210,35368
1211,36306
1212,37001
1213,35601
1214,36005
1215,36143
1216,35397
1217,35348
1218,36659
1219,35347
1220,36895
1221,36530
1222,35967
1223,35804
1224,35699
1225,36603
1226,35885
1227,35557
1228,35302
1229,36535
1230,35487
1231,36536
1232,36460
1233,35690
1234,35204
1235,35282
1236,35531
1237,35878
1238,35723
1239,36073
1240,36966
1241,35269
1242,37021
1243,35447
1244,35157
1245,35178
1246,36722
1247,36288
1248,35112
1249,36885
1250,36605
1251,35508
1252,36464
1253,35136
1254,36077
1255,36506
1256,36147
1257,36733
1258,36547
1259,37039
1260,36881
1261,36320
1262,35970
1263,35766
1264,36422
1265,36780
1266,35627
1267,35306
1268,36320
1269,36483
1270,35418
1271,35260
1272,35519
1273,35883
1274,35542
1275,36078
1276,35986
1277,35838
1278,36602
1279,35410
1280,37058
1281,35539
1282,35547
1283,36744
1284,35645
1285,36012
1286,36185
1287,36252
1288,35862
1289,35498
1290,35990
1291,36529
1292,35593
1293,35741
1294,36081
1295,36280
1296,35292
1297,36927
1298,35502
1299,35226
1300,35159
1301,35096
1302,36698
1303,35075
1304,36821
1305,36048
1306,35719
1307,36885
1308,35849
1309,36801
1310,36253
1311,35653
1312,36946
1313,35466
1314,35884
1315,35392
1316,36867
1317,36753
1318,36618
1319,36388
1320,35376
1321,36690
1322,36936
1323,35127
1324,35096
1325,35858
1326,35362
1327,36859
1328,36426
1329,36176
1330,35181
1331,36221
1332,35842
1333,35585
1334,35331
1335,35227
1336,36012
1337,36400
1338,36785
1339,35686
1340,36920
1341,35094
1342,35137
1343,36164
1344,35189
1345,36140
1346,36786
1347,35329
1348,35152
1349,36976
1350,35625
1351,36664
1352,35305
1353,35950
1354,35251
1355,35454
1356,35121
1357,36088
1358,36370
1359,35331
1360,36589
1361,35636
1362,36471
1363,36738
1364,36796
1365,35458
1366,36422
1367,35981
1368,35863
1369,35740
1370,36357
1371,35613
1372,37050
1373,35597
1374,36379
1375,36366
1376,35562
1377,35567
1378,35188
1379,36269
1380,36980
1381,36678
1382,36274
1383,35423
1384,35781
1385,35942
1386,36304
1387,36494
1388,36212
1389,36372
1390,36134
1391,37049
1392,35189
1393,36918
1394,35788
1395,36185
1396,35910
1397,36167
1398,35473
1399,36522
1400,36867
1401,36163
1402,35933
1403,36948
1404,36421
1405,35208
1406,36526
1407,35612
1408,36587
1409,36315
1410,36541
1411,37056
1412,36605
1413,35213
1414,35580
1415,35428
1416,37064
1417,35262
1418,35374
1419,35185
1420,36946
1421,35481
1422,36815
1423,35941
1424,36810
1425,35156
1426,35173
1427,36369
1428,35251
1429,36933
1430,36730
1431,36115
1432,36025
1433,36091
1434,35823
1435,35268
1436,35705
1437,35147
1438,35324
1439,36153
1440,35132
1441,35972
1442,36425
1443,35327
1444,36898
1445,35874
1446,36628
1447,36514
1448,36905
1449,36871
1450,35978
1451,35115
1452,36573
1453,36139
1454,35617
1455,35250
1456,35577
1457,36704
1458,35731
1459,35240
1460,35683
1461,35135
1462,36825
1463,35851
1464,35184
1465,36565
1466,35599
1467,35706
1468,36570
1469,35331
1470,35598
1471,36692
1472,35843
1473,36717
1474,35304
1475,36817
1476,36453
1477,35687
1478,35257
1479,35935
1480,36788
1481,35567
1482,36094
1483,36206
1484,35485
1485,35741
1486,36955
1487,35758
1488,36108
1489,36669
1490,35865
1491,37023
1492,36899
1493,36261
1494,36050
1495,35279
1496,35330
1497,36401
1498,36733
1499,35983
1500,36137
1501,36209
1502,36538
1503,36793
1504,36774
1505,36255
1506,36501
1507,36130
1508,36161
1509,35126
1510,36901
1511,36768
1512,35661
1513,36587
1514,35386
1515,35474
1516,35823
1517,35862
1518,36132
1519,35729
1520,35264
1521,35903
1522,35772
1523,35323
1524,36242
1525,35197
1526,35154
1527,35680
1528,36734
1529,36701
1530,36398
1531,36157
1532,35707
1533,35920
1534,35675
1535,35717
1536,35787
1537,35623
1538,35731
1539,36598
1540,36597
1541,36130
1542,36091
1543,35082
1544,36142
1545,35314
1546,35369
1547,35714
1548,36937
1549,36553
1550,35731
1551,36672
1552,35735
1553,36238
1554,35205
1555,35990
1556,35637
1557,36047
1558,35995
1559,36934
1560,35810
1561,36964
1562,36583
1563,37051
1564,35844
1565,36735
1566,36886
1567,36960
1568,35225
1569,36953
1570,36250
1571,36706
1572,35179
1573,35340
1574,35164
1575,36137
1576,36072
1577,36243
1578,36812
1579,35580
1580,36670
1581,35567
1582,36504
1583,36240
1584,36594
1585,35758
1586,35805
1587,36994
1588,36697
1589,36382
1590,35823
1591,35889
1592,35694
1593,36016
1594,36290
1595,35762
1596,36154
1597,36104
1598,35408
1599,35124
1600,35368
1601,35577
1602,36472
1603,35517
1604,36217
1605,35338
1606,36922
1607,35295
1608,35443
1609,36634
1610,35906
1611,36988
1612,36555
1613,36334
1614,35167
1615,36727
1616,35268
1617,36182
1618,36460
1619,35609
1620,36528
1621,35284
1622,35483
1623,35600
1624,35201
1625,36359
1626,36234
1627,36143
1628,36377
1629,35225
1630,36816
1631,35214
1632,36691
1633,36807
1634,35510
1635,36382
1636,36781
1637,35420
1638,36112
1639,36830
1640,35949
1641,35109
1642,36274
1643,35818
1644,36908
1645,36800
1646,36061
1647,36519
1648,36718
1649,35646
1650,35515
1651,36890
1652,35475
1653,36289
1654,36075
1655,36837
1656,36905
1657,36893
1658,35546
1659,35936
1660,35991
1661,36448
1662,35816
1663,36180
1664,36934
1665,36999
1666,35451
1667,36699
1668,36052
1669,36551
1670,35213
1671,36732
1672,36786
1673,37064
1674,35590
1675,35899
1676,35477
1677,35081
1678,36594
1679,36154
1680,36642
1681,35844
1682,36118
1683,36859
1684,36062
1685,35221
1686,35891
1687,36326
1688,36872
1689,36109
1690,36695
1691,36249
1692,36262
1693,35936
1694,35147
1695,35785
1696,36808
1697,36003
1698,35078
1699,35453
1700,37032
1701,35678
1702,36490
1703,36480
1704,36379
1705,35076
1706,36172
1707,35310
1708,36748
1709,35684
1710,36114
1711,36881
1712,36594
1713,35711
1714,37053
1715,36655
1716,36177
1717,36386
1718,36236
1719,36194
1720,35643
1721,36141
1722,35907
1723,36175
1724,36989
1725,36741
1726,36963
1727,37017
1728,36125
1729,35901
1730,36299
1731,36355
1732,36255
1733,35695
1734,35991
1735,35683
1736,35333
1737,36101
1738,35974
1739,36265
1740,35352
1741,36191
1742,36647
1743,37065
1744,37060
1745,35398
1746,35582
1747,36368
1748,35084
1749,35933
1750,36572
1751,36419
1752,36223
1753,35139
1754,35819
1755,35926
1756,35888
1757,35641
1758,36982
1759,36414
1760,36898
1761,36603
1762,36436
1763,35102
1764,36905
1765,35250
1766,36959
1767,35249
1768,36798
1769,35074
1770,35850
1771,35615
1772,36016
1773,35621
1774,36695
1775,36665
1776,35828
1777,36367
1778,36599
1779,36810
1780,36050
1781,36639
1782,35754
1783,35860
1784,35999
1785,36710
1786,35303
1787,36055
1788,35791
1789,35361
1790,35915
1791,35368
1792,35102
1793,35417
1794,36732
1795,35597
1796,35818
1797,36821
1798,35325
1799,36272
1800,36675
1801,35653
1802,37009
1803,35910
1804,35593
1805,36988
1806,36117
1807,35653
1808,36579
1809,35926
1810,36480
1811,35625
1812,35952
1813,35752
1814,36656
1815,36936
1816,36059
1817,35506
1818,36530
1819,36764
1820,36071
1821,37009
1822,37054
1823,35888
1824,36531
1825,35935
1826,35252
1827,35196
1828,35330
1829,35487
1830,37044
1831,35371
1832,35534
1833,36560
1834,35118
1835,35276
1836,35583
1837,35383
1838,36047
1839,36651
1840,37015
1841,35267
1842,35882
1843,36395
1844,36546
1845,35448
1846,36773
1847,35071
1848,35247
1849,35940
1850,36318
1851,37020
1852,35169
1853,36190
1854,35512
1855,36159
1856,35929
1857,35775
1858,35161
1859,37002
1860,36399
1861,37050
1862,36961
1863,35276
1864,36569
1865,36197
1866,36455
1867,35924
1868,36774
1869,36440
1870,36582
1871,35307
1872,35608
1873,36466
1874,35635
1875,35431
1876,36047
1877,36713
1878,36689
1879,36507
1880,36821
1881,35162
1882,36675
1883,35503
1884,36451
1885,36384
1886,35243
1887,36839
1888,35863
1889,35318
1890,36434
1891,35981
1892,35667
1893,36461
1894,36105
1895,36084
1896,36918
1897,35870
1898,35302
1899,36306
1900,36813
1901,36046
1902,35281
1903,35370
1904,35856
1905,36321
1906,36919
1907,36503
1908,35477
1909,35407
1910,36131
1911,35592
1912,35918
1913,36587
1914,36883
1915,36980
1916,36164
1917,35656
1918,36844
1919,36073
1920,36362
1921,36897
1922,36724
1923,36180
1924,36934
1925,35504
1926,36680
1927,36620
1928,36342
1929,35755
1930,36828
1931,36060
1932,35275
1933,35082
1934,36616
1935,36558
1936,36411
1937,35775
1938,36961
1939,36877
1940,37048
1941,36516
1942,35612
1943,35180
1944,36172
1945,36345
1946,35966
1947,35679
1948,36621
1949,36916
1950,36790
1951,35271
1952,35533
1953,36105
1954,35627
1955,35618
1956,36511
1957,35569
1958,35908
1959,35368
1960,35331
1961,35589
1962,35464
1963,35900
1964,36213
1965,36355
1966,36290
1967,36915
1968,37031
1969,35184
1970,36156
1971,36773
1972,36312
1973,36108
1974,35369
1975,37002
1976,35912
1977,35618
1978,35638
1979,36048
1980,36489
1981,35691
1982,35611
1983,36071
1984,35504
1985,36086
1986,35818
1987,36291
1988,36028
1989,35559
1990,35758
1991,35425
1992,36305
1993,36619
1994,35436
1995,36578
1996,36867
1997,36253
1998,36486
1999,35988
2000,36160
2001,35371
2002,35184
2003,36097
2004,35732
2005,36147
2006,36478
2007,35341
2008,36386
2009,36624
2010,36727
2011,36890
2012,35501
2013,35710
2014,36339
2015,36076
2016,36048
2017,35740
2018,35307
2019,35326
2020,36882
2021,35351
2022,36495
2023,35590
2024,35525
2025,35245
2026,36366
2027,36168
2028,36762
2029,36504
2030,35167
2031,36218
2032,35417
2033,36467
2034,35302
2035,35528
2036,36218
2037,35473
2038,36095
2039,36227
2040,36416
2041,36876
2042,35695
2043,35929
2044,35736
2045,35073
2046,36649
2047,35106
2048,36747
2049,35690
2050,36748
2051,36325
2052,35516
2053,35238
2054,36586
2055,35524
2056,35638
2057,36459
2058,36346
2059,36828
2060,35763
2061,35616
2062,36296
2063,36537
2064,36126
2065,35841
2066,35112
2067,35314
2068,35740
2069,35775
2070,35350
2071,35297
2072,35578
2073,36905
2074,36641
2075,35358
2076,36460
2077,36240
2078,35149
2079,35775
2080,35223
2081,35253
2082,36549
2083,35276
2084,35679
2085,35714
2086,35574
2087,35616
2088,36149
2089,35166
2090,35805
2091,35128
2092,35225
2093,35349
2094,36960
2095,35882
2096,35826
2097,36977
2098,36539
2099,36372
2100,36480
2101,35560
2102,35257
2103,36456
2104,35738
2105,35625
2106,35081
2107,36120
2108,36884
2109,35724
2110,37028
2111,37007
2112,35294
2113,35786
2114,36955
2115,36710
2116,36684
2117,36378
2118,36548
2119,36792
2120,35322
2121,36306
2122,36963
2123,36847
2124,35620
2125,35894
2126,35251
2127,36455
2128,36245
2129,36336
2130,36550
2131,36145
2132,36038
2133,36220
2134,35922
2135,36162
2136,36977
2137,35871
2138,35681
2139,36904
2140,35514
2141,36360
2142,35684
2143,36189
2144,35337
2145,35175
2146,36293
2147,36106
2148,35290
2149,35423
2150,35557
2151,35505
2152,36902
2153,35955
2154,35627
2155,36183
2156,35105
2157,35577
2158,36168
2159,35619
2160,37000
2161,36150
2162,35601
2163,36034
2164,35323
2165,35890
2166,36516
2167,35277
2168,36590
2169,35829
2170,35206
2171,36405
2172,36179
2173,35808
2174,36180
2175,36202
2176,36793
2177,36712
2178,36546
2179,36104
2180,36467
2181,36254
2182,35127
2183,36332
2184,35696
2185,35977
2186,36462
2187,35335
2188,35384
2189,35217
2190,36935
2191,36251
2192,35355
2193,36450
2194,36865
2195,36758
2196,35507
2197,36056
2198,36788
2199,36705
2200,36802
2201,36636
2202,35752
2203,35812
2204,36884
2205,35663
2206,35392
2207,35383
2208,36803
2209,36693
2210,35846
2211,36771
2212,35965
2213,35895
2214,35306
2215,37065
2216,36295
2217,35362
2218,35617
2219,35669
2220,36430
2221,36471
2222,36702
2223,36373
2224,36301
2225,37016
2226,35081
2227,36165
2228,37015
2229,35084
2230,36948
2231,36734
2232,36381
2233,35336
2234,35842
2235,36594
2236,36215
2237,36994
2238,36872
2239,35272
2240,36006
2241,35127
2242,36660
2243,35949
2244,36290
2245,36456
2246,35929
2247,35630
2248,36976
2249,35823
2250,35901
2251,35896
2252,36305
2253,36011
2254,35174
2255,35268
2256,36029
2257,36660
2258,35141
2259,36388
2260,36507
2261,36493
2262,35066
2263,36728
2264,35151
2265,36768
2266,35292
2267,36267
2268,35350
2269,36151
2270,36105
2271,36628
2272,35794
2273,36193
2274,35619
2275,36668
2276,36228
2277,36926
2278,37048
2279,36406
2280,35794
2281,36707
2282,36035
2283,36743
2284,36493
2285,35567
2286,36964
2287,36720
2288,36338
2289,35556
2290,35281
2291,36216
2292,37014
2293,35797
2294,36850
2295,35389
2296,35303
2297,36655
2298,35148
2299,36941
2300,36506
2301,35707
2302,35930
2303,36866
2304,36554
2305,35774
2306,35584
2307,36411
2308,36346
2309,36904
2310,36646
2311,36940
2312,35179
2313,36328
2314,35955
2315,35914
2316,35835
2317,35799
2318,35666
2319,36609
2320,36736
2321,35763
2322,35968
2323,36699
2324,36497
2325,35552
2326,36365
2327,36313
2328,36127
2329,35360
2330,35179
2331,35764
2332,36443
2333,35297
2334,36890
2335,36115
2336,35417
2337,36177
2338,36381
2339,36346
2340,36063
2341,36896
2342,35763
2343,36616
2344,36519
2345,35313
2346,37062
2347,36258
2348,35109
2349,36048
2350,36902
2351,35493
2352,35849
2353,36358
2354,36772
2355,37016
2356,35422
2357,35878
2358,36532
2359,35531
2360,35269
2361,35573
2362,35752
2363,37061
2364,37051
2365,35738
2366,36409
2367,35567
2368,36671
2369,36451
2370,36009
2371,36586
2372,36029
2373,35821
2374,36073
2375,36399
2376,36648
2377,36423
2378,36546
2379,36983
2380,35461
2381,35949
2382,35967
2383,35881
2384,36175
2385,35311
2386,36235
2387,36064
2388,36963
2389,35610
2390,36784
2391,35321
2392,35371
2393,35089
2394,35835
2395,35914
2396,35288
2397,36701
2398,35118
2399,36401
2400,35217
2401,36992
2402,35439
2403,36004
2404,36633
2405,35837
2406,36431
2407,36093
2408,36699
2409,36734
2410,35655
2411,36944
2412,35383
2413,35380
2414,37055
2415,36139
2416,36756
2417,35281
2418,37004
2419,35586
2420,35103
2421,36016
2422,35877
2423,36725
2424,36363
2425,36508
2426,36572
2427,36688
2428,36934
2429,35532
2430,36166
2431,36489
2432,35865
2433,35075
2434,36179
2435,36711
2436,35575
2437,35931
2438,36923
2439,35390
2440,36421
2441,35431
2442,35766
2443,36421
2444,35554
2445,35220
2446,36652
2447,36163
2448,36980
2449,36207
2450,37031
2451,35394
2452,35424
2453,35834
2454,36263
2455,35109
2456,36115
2457,35509
2458,35940
2459,35547
2460,36691
2461,35147
2462,36981
2463,36121
2464,36549
2465,35454
2466,36499
2467,36097
2468,36479
2469,36318
2470,36403
2471,36164
2472,35223
2473,35572
2474,35880
2475,36661
2476,36017
2477,35308
2478,36226
2479,36383
2480,35164
2481,35857
2482,35248
2483,36211
2484,35258
2485,36378
2486,36734
2487,36045
2488,35157
2489,36126
2490,35554
2491,36657
2492,35089
2493,35107
2494,37021
2495,36824
2496,35703
2497,36020
